"","gene","cluster","external_gene_name"
"537","ENSMUSG00000018167",1,"Stard3"
"538","ENSMUSG00000018171",1,"Vmp1"
"539","ENSMUSG00000018189",1,"Uchl5"
"540","ENSMUSG00000018209",1,"Stk4"
"541","ENSMUSG00000018239",1,"Zcchc10"
"542","ENSMUSG00000018322",1,"Tomm34"
"543","ENSMUSG00000018326",1,"Ywhab"
"544","ENSMUSG00000018362",1,"Kpna2"
"545","ENSMUSG00000018363",1,"Smurf2"
"546","ENSMUSG00000018372",1,"Cep95"
"547","ENSMUSG00000018379",1,"Srsf1"
"548","ENSMUSG00000018387",1,"Shroom1"
"549","ENSMUSG00000018415",1,"Gid4"
"550","ENSMUSG00000018425",1,"Dhx40"
"551","ENSMUSG00000018433",1,"Nol11"
"552","ENSMUSG00000018442",1,"Derl2"
"553","ENSMUSG00000018446",1,"C1qbp"
"554","ENSMUSG00000018476",1,"Kdm6b"
"555","ENSMUSG00000018481",1,"Appbp2"
"556","ENSMUSG00000018486",1,"Wnt9b"
"557","ENSMUSG00000018541",1,"Cwc25"
